"code","ALT_CODE","USAGE","USAGE_UK","DESCRIPTION","MODIFIER_4","MODIFIER_5","QUALIFIERS","GENDER_MASK","MIN_AGE","MAX_AGE","TREE_DESCRIPTION"
"C00","C00","DEFAULT","3","Malignant neoplasm of lip","","","",,,,""
"C00.0","C000","DEFAULT","3","Malignant neoplasm: External upper lip","","","",,,,"External upper lip"
"C00.1","C001","DEFAULT","3","Malignant neoplasm: External lower lip","","","",,,,"External lower lip"
"C00.2","C002","DEFAULT","3","Malignant neoplasm: External lip, unspecified","","","",,,,"External lip, unspecified"
"C00.3","C003","DEFAULT","3","Malignant neoplasm: Upper lip, inner aspect","","","",,,,"Upper lip, inner aspect"
"C00.4","C004","DEFAULT","3","Malignant neoplasm: Lower lip, inner aspect","","","",,,,"Lower lip, inner aspect"
"C00.5","C005","DEFAULT","3","Malignant neoplasm: Lip, unspecified, inner aspect","","","",,,,"Lip, unspecified, inner aspect"
"C00.6","C006","DEFAULT","3","Malignant neoplasm: Commissure of lip","","","",,,,"Commissure of lip"
"C00.8","C008","DEFAULT","3","Malignant neoplasm: Overlapping lesion of lip","","","",,,,"Overlapping lesion of lip"
"C00.9","C009","DEFAULT","3","Malignant neoplasm: Lip, unspecified","","","",,,,"Lip, unspecified"
"C01","C01X","DEFAULT","3","Malignant neoplasm of base of tongue","","","",,,,""
"C02","C02","DEFAULT","3","Malignant neoplasm of other and unspecified parts of tongue","","","",,,,""
"C02.0","C020","DEFAULT","3","Malignant neoplasm: Dorsal surface of tongue","","","",,,,"Dorsal surface of tongue"
"C02.1","C021","DEFAULT","3","Malignant neoplasm: Border of tongue","","","",,,,"Border of tongue"
"C02.2","C022","DEFAULT","3","Malignant neoplasm: Ventral surface of tongue","","","",,,,"Ventral surface of tongue"
"C02.3","C023","DEFAULT","3","Malignant neoplasm: Anterior two-thirds of tongue, part unspecified","","","",,,,"Anterior two-thirds of tongue, part unspecified"
"C02.4","C024","DEFAULT","3","Malignant neoplasm: Lingual tonsil","","","",,,,"Lingual tonsil"
"C02.8","C028","DEFAULT","3","Malignant neoplasm: Overlapping lesion of tongue","","","",,,,"Overlapping lesion of tongue"
"C02.9","C029","DEFAULT","3","Malignant neoplasm: Tongue, unspecified","","","",,,,"Tongue, unspecified"
"C03","C03","DEFAULT","3","Malignant neoplasm of gum","","","",,,,""
"C03.0","C030","DEFAULT","3","Malignant neoplasm: Upper gum","","","",,,,"Upper gum"
"C03.1","C031","DEFAULT","3","Malignant neoplasm: Lower gum","","","",,,,"Lower gum"
"C03.9","C039","DEFAULT","3","Malignant neoplasm: Gum, unspecified","","","",,,,"Gum, unspecified"
"C04","C04","DEFAULT","3","Malignant neoplasm of floor of mouth","","","",,,,""
"C04.0","C040","DEFAULT","3","Malignant neoplasm: Anterior floor of mouth","","","",,,,"Anterior floor of mouth"
"C04.1","C041","DEFAULT","3","Malignant neoplasm: Lateral floor of mouth","","","",,,,"Lateral floor of mouth"
"C04.8","C048","DEFAULT","3","Malignant neoplasm: Overlapping lesion of floor of mouth","","","",,,,"Overlapping lesion of floor of mouth"
"C04.9","C049","DEFAULT","3","Malignant neoplasm: Floor of mouth, unspecified","","","",,,,"Floor of mouth, unspecified"
"C05","C05","DEFAULT","3","Malignant neoplasm of palate","","","",,,,""
"C05.0","C050","DEFAULT","3","Malignant neoplasm: Hard palate","","","",,,,"Hard palate"
"C05.1","C051","DEFAULT","3","Malignant neoplasm: Soft palate","","","",,,,"Soft palate"
"C05.2","C052","DEFAULT","3","Malignant neoplasm: Uvula","","","",,,,"Uvula"
"C05.8","C058","DEFAULT","3","Malignant neoplasm: Overlapping lesion of palate","","","",,,,"Overlapping lesion of palate"
"C05.9","C059","DEFAULT","3","Malignant neoplasm: Palate, unspecified","","","",,,,"Palate, unspecified"
"C06","C06","DEFAULT","3","Malignant neoplasm of other and unspecified parts of mouth","","","",,,,""
"C06.0","C060","DEFAULT","3","Malignant neoplasm: Cheek mucosa","","","",,,,"Cheek mucosa"
"C06.1","C061","DEFAULT","3","Malignant neoplasm: Vestibule of mouth","","","",,,,"Vestibule of mouth"
"C06.2","C062","DEFAULT","3","Malignant neoplasm: Retromolar area","","","",,,,"Retromolar area"
"C06.8","C068","DEFAULT","3","Malignant neoplasm: Overlapping lesion of other and unspecified parts of mouth","","","",,,,"Overlapping lesion of other and unspecified parts of mouth"
"C06.9","C069","DEFAULT","3","Malignant neoplasm: Mouth, unspecified","","","",,,,"Mouth, unspecified"
"C07","C07X","DEFAULT","3","Malignant neoplasm of parotid gland","","","",,,,""
"C08","C08","DEFAULT","3","Malignant neoplasm of other and unspecified major salivary glands","","","",,,,""
"C08.0","C080","DEFAULT","3","Malignant neoplasm: Submandibular gland","","","",,,,"Submandibular gland"
"C08.1","C081","DEFAULT","3","Malignant neoplasm: Sublingual gland","","","",,,,"Sublingual gland"
