"code","ALT_CODE","USAGE","USAGE_UK","DESCRIPTION","MODIFIER_4","MODIFIER_5","QUALIFIERS","GENDER_MASK","MIN_AGE","MAX_AGE","TREE_DESCRIPTION"
"C50","C50","DEFAULT","3","Malignant neoplasm of breast","","","",,,,""
"C50.0","C500","DEFAULT","3","Malignant neoplasm: Nipple and areola","","","",,,,"Nipple and areola"
"C50.1","C501","DEFAULT","3","Malignant neoplasm: Central portion of breast","","","",,,,"Central portion of breast"
"C50.2","C502","DEFAULT","3","Malignant neoplasm: Upper-inner quadrant of breast","","","",,,,"Upper-inner quadrant of breast"
"C50.3","C503","DEFAULT","3","Malignant neoplasm: Lower-inner quadrant of breast","","","",,,,"Lower-inner quadrant of breast"
"C50.4","C504","DEFAULT","3","Malignant neoplasm: Upper-outer quadrant of breast","","","",,,,"Upper-outer quadrant of breast"
"C50.5","C505","DEFAULT","3","Malignant neoplasm: Lower-outer quadrant of breast","","","",,,,"Lower-outer quadrant of breast"
"C50.6","C506","DEFAULT","3","Malignant neoplasm: Axillary tail of breast","","","",,,,"Axillary tail of breast"
"C50.8","C508","DEFAULT","3","Malignant neoplasm: Overlapping lesion of breast","","","",,,,"Overlapping lesion of breast"
"C50.9","C509","DEFAULT","3","Malignant neoplasm: Breast, unspecified","","","",,,,"Breast, unspecified"
