"code","ALT_CODE","USAGE","USAGE_UK","DESCRIPTION","MODIFIER_4","MODIFIER_5","QUALIFIERS","GENDER_MASK","MIN_AGE","MAX_AGE","TREE_DESCRIPTION"
"F00","F00","ASTERISK","2","Dementia in Alzheimer disease","","","",,,,""
"F00.0","F000","ASTERISK","2","Dementia in Alzheimer disease with early onset","","","",,,,""
"F00.1","F001","ASTERISK","2","Dementia in Alzheimer disease with late onset","","","",,,,""
"F00.2","F002","ASTERISK","2","Dementia in Alzheimer disease, atypical or mixed type","","","",,,,""
"F00.9","F009","ASTERISK","2","Dementia in Alzheimer disease, unspecified","","","",,,,""
"F01","F01","DEFAULT","3","Vascular dementia","","","",,,,""
"F01.0","F010","DEFAULT","3","Vascular dementia of acute onset","","","",,,,""
"F01.1","F011","DEFAULT","3","Multi-infarct dementia","","","",,,,""
"F01.2","F012","DEFAULT","3","Subcortical vascular dementia","","","",,,,""
"F01.3","F013","DEFAULT","3","Mixed cortical and subcortical vascular dementia","","","",,,,""
"F01.8","F018","DEFAULT","3","Other vascular dementia","","","",,,,""
"F01.9","F019","DEFAULT","3","Vascular dementia, unspecified","","","",,,,""
"F02","F02","ASTERISK","2","Dementia in other diseases classified elsewhere","","","",,,,""
"F02.0","F020","ASTERISK","2","Dementia in Pick disease","","","",,,,""
"F02.1","F021","ASTERISK","2","Dementia in Creutzfeldt-Jakob disease","","","",,,,""
"F02.2","F022","ASTERISK","2","Dementia in Huntington disease","","","",,,,""
"F02.3","F023","ASTERISK","2","Dementia in Parkinson disease","","","",,,,""
"F02.4","F024","ASTERISK","2","Dementia in human immunodeficiency virus [HIV] disease","","","",,,,""
"F02.8","F028","ASTERISK","2","Dementia in other specified diseases classified elsewhere","","","",,,,""
"F03","F03X","DEFAULT","3","Unspecified dementia","","","",,,,""
