"code","ALT_CODE","USAGE","USAGE_UK","DESCRIPTION","MODIFIER_4","MODIFIER_5","QUALIFIERS","GENDER_MASK","MIN_AGE","MAX_AGE","TREE_DESCRIPTION"
"B35","B35","DEFAULT","3","Dermatophytosis","","","",,,,""
"B35.0","B350","DEFAULT","3","Tinea barbae and tinea capitis","","","",,,,""
"B35.1","B351","DEFAULT","3","Tinea unguium","","","",,,,""
"B35.2","B352","DEFAULT","3","Tinea manuum","","","",,,,""
"B35.3","B353","DEFAULT","3","Tinea pedis","","","",,,,""
"B35.4","B354","DEFAULT","3","Tinea corporis","","","",,,,""
"B35.5","B355","DEFAULT","3","Tinea imbricata","","","",,,,""
"B35.6","B356","DEFAULT","3","Tinea inguinalis [Tinea cruris]","","","",,,,""
"B35.8","B358","DEFAULT","3","Other dermatophytoses","","","",,,,""
"B35.9","B359","DEFAULT","3","Dermatophytosis, unspecified","","","",,,,""
