code,alt_code,description_lc
S52.5,S525,fracture of lower end of radius
S52.50,S5250,fracture of lower end of radius
S52.51,S5251,fracture of lower end of radius
S52.6,S526,fracture of lower end of both ulna and radius
S52.60,S5260,fracture of lower end of both ulna and radius
S52.61,S5261,fracture of lower end of both ulna and radius
S62,S62,fracture at wrist and hand level
S62.8,S628,fracture of other and unspecified parts of wrist and hand
S62.80,S6280,fracture of other and unspecified parts of wrist and hand
S62.81,S6281,fracture of other and unspecified parts of wrist and hand
