code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
171J.00,Reflux cough,Read codes v2,C821,2781,Gastro-oesophageal reflux disease - Primary care,PH48,96,Gastro-oesophageal reflux disease,"{'Disease': 'Gastro-oesophageal reflux disease', 'Medcode': '19470.0', 'Category': 'Diagnosis of Gastro-oesophageal reflux disease'}"
1957.00,Gastric reflux,Read codes v2,C821,2781,Gastro-oesophageal reflux disease - Primary care,PH48,96,Gastro-oesophageal reflux disease,"{'Disease': 'Gastro-oesophageal reflux disease', 'Medcode': '7577.0', 'Category': 'Diagnosis of Gastro-oesophageal reflux disease'}"
760L.00,Antireflux operations,Read codes v2,C821,2781,Gastro-oesophageal reflux disease - Primary care,PH48,96,Gastro-oesophageal reflux disease,"{'Disease': 'Gastro-oesophageal reflux disease', 'Medcode': '18211.0', 'Category': 'Procedure for Gastro-oesophageal reflux disease'}"
760L.11,Oesophageal reflux operations,Read codes v2,C821,2781,Gastro-oesophageal reflux disease - Primary care,PH48,96,Gastro-oesophageal reflux disease,"{'Disease': 'Gastro-oesophageal reflux disease', 'Medcode': '17263.0', 'Category': 'Procedure for Gastro-oesophageal reflux disease'}"
760L000,Antireflux fundoplication using thoracic approach,Read codes v2,C821,2781,Gastro-oesophageal reflux disease - Primary care,PH48,96,Gastro-oesophageal reflux disease,"{'Disease': 'Gastro-oesophageal reflux disease', 'Medcode': '14713.0', 'Category': 'Procedure for Gastro-oesophageal reflux disease'}"
760L100,Antireflux operation using thoracic approach NEC,Read codes v2,C821,2781,Gastro-oesophageal reflux disease - Primary care,PH48,96,Gastro-oesophageal reflux disease,"{'Disease': 'Gastro-oesophageal reflux disease', 'Medcode': '53657.0', 'Category': 'Procedure for Gastro-oesophageal reflux disease'}"
760L111,Antireflux procedure using thoracic approach NEC,Read codes v2,C821,2781,Gastro-oesophageal reflux disease - Primary care,PH48,96,Gastro-oesophageal reflux disease,"{'Disease': 'Gastro-oesophageal reflux disease', 'Medcode': '68276.0', 'Category': 'Procedure for Gastro-oesophageal reflux disease'}"
760L200,Antireflux fundoplication using abdominal approach,Read codes v2,C821,2781,Gastro-oesophageal reflux disease - Primary care,PH48,96,Gastro-oesophageal reflux disease,"{'Disease': 'Gastro-oesophageal reflux disease', 'Medcode': '17610.0', 'Category': 'Procedure for Gastro-oesophageal reflux disease'}"
760L300,Antireflux gastropexy,Read codes v2,C821,2781,Gastro-oesophageal reflux disease - Primary care,PH48,96,Gastro-oesophageal reflux disease,"{'Disease': 'Gastro-oesophageal reflux disease', 'Medcode': '45360.0', 'Category': 'Procedure for Gastro-oesophageal reflux disease'}"
760L311,Antireflux gastroplasty,Read codes v2,C821,2781,Gastro-oesophageal reflux disease - Primary care,PH48,96,Gastro-oesophageal reflux disease,"{'Disease': 'Gastro-oesophageal reflux disease', 'Medcode': '48146.0', 'Category': 'Procedure for Gastro-oesophageal reflux disease'}"
760L400,Antireflux procedure and gastroplasty HFQ,Read codes v2,C821,2781,Gastro-oesophageal reflux disease - Primary care,PH48,96,Gastro-oesophageal reflux disease,"{'Disease': 'Gastro-oesophageal reflux disease', 'Medcode': '103564.0', 'Category': 'Procedure for Gastro-oesophageal reflux disease'}"
760Ly00,Other specified antireflux operation,Read codes v2,C821,2781,Gastro-oesophageal reflux disease - Primary care,PH48,96,Gastro-oesophageal reflux disease,"{'Disease': 'Gastro-oesophageal reflux disease', 'Medcode': '34005.0', 'Category': 'Procedure for Gastro-oesophageal reflux disease'}"
760Lz00,Antireflux operation NOS,Read codes v2,C821,2781,Gastro-oesophageal reflux disease - Primary care,PH48,96,Gastro-oesophageal reflux disease,"{'Disease': 'Gastro-oesophageal reflux disease', 'Medcode': '28619.0', 'Category': 'Procedure for Gastro-oesophageal reflux disease'}"
760M.00,Revision of antireflux operations,Read codes v2,C821,2781,Gastro-oesophageal reflux disease - Primary care,PH48,96,Gastro-oesophageal reflux disease,"{'Disease': 'Gastro-oesophageal reflux disease', 'Medcode': '51400.0', 'Category': 'Procedure for Gastro-oesophageal reflux disease'}"
760Mz00,Revision of antireflux operation NOS,Read codes v2,C821,2781,Gastro-oesophageal reflux disease - Primary care,PH48,96,Gastro-oesophageal reflux disease,"{'Disease': 'Gastro-oesophageal reflux disease', 'Medcode': '67258.0', 'Category': 'Procedure for Gastro-oesophageal reflux disease'}"
J101100,Reflux oesophagitis,Read codes v2,C821,2781,Gastro-oesophageal reflux disease - Primary care,PH48,96,Gastro-oesophageal reflux disease,"{'Disease': 'Gastro-oesophageal reflux disease', 'Medcode': '2535.0', 'Category': 'Diagnosis of Gastro-oesophageal reflux disease'}"
