"code","ALT_CODE","USAGE","USAGE_UK","DESCRIPTION","MODIFIER_4","MODIFIER_5","QUALIFIERS","GENDER_MASK","MIN_AGE","MAX_AGE","TREE_DESCRIPTION"
"C82","C82","DEFAULT","3","Follicular lymphoma","","","",,,,""
"C82.0","C820","DEFAULT","3","Follicular lymphoma grade I","","","",,,,"Follicular lymphoma grade I"
"C82.1","C821","DEFAULT","3","Follicular lymphoma grade II","","","",,,,"Follicular lymphoma grade II"
"C82.2","C822","DEFAULT","3","Follicular lymphoma grade III, unspecified","","","",,,,"Follicular lymphoma grade III, unspecified"
"C82.3","C823","DEFAULT","3","Follicular lymphoma grade IIIa","","","",,,,""
"C82.4","C824","DEFAULT","3","Follicular lymphoma grade IIIb","","","",,,,""
"C82.5","C825","DEFAULT","3","Diffuse follicle centre lymphoma","","","",,,,""
"C82.6","C826","DEFAULT","3","Cutaneous follicle centre lymphoma","","","",,,,""
"C82.7","C827","DEFAULT","3","Other types of follicular lymphoma","","","",,,,""
"C82.9","C829","DEFAULT","3","Follicular lymphoma, unspecified","","","",,,,""
"C83","C83","DEFAULT","3","Non-follicular lymphoma","","","",,,,""
"C83.0","C830","DEFAULT","3","Small cell B-cell lymphoma","","","",,,,"Small cell B-cell lymphoma"
"C83.1","C831","DEFAULT","3","Mantle cell lymphoma","","","",,,,"Mantle cell lymphoma"
"C83.3","C833","DEFAULT","3","Diffuse large B-cell lymphoma","","","",,,,""
"C83.5","C835","DEFAULT","3","Lymphoblastic (diffuse) lymphoma","","","",,,,"Lymphoblastic (diffuse) lymphoma"
"C83.7","C837","DEFAULT","3","Burkitt lymphoma","","","",,,,""
"C83.8","C838","DEFAULT","3","Other non-follicular lymphoma","","","",,,,""
"C83.9","C839","DEFAULT","3","Non-follicular (diffuse) lymphoma, unspecified","","","",,,,""
"C84","C84","DEFAULT","3","Mature T/NK-cell lymphomas","","","",,,,""
"C84.0","C840","DEFAULT","3","Mycosis fungoides","","","",,,,""
"C84.1","C841","DEFAULT","3","Sézary disease","","","",,,,""
"C84.4","C844","DEFAULT","3","Peripheral T-cell lymphoma, not elsewhere classified","","","",,,,""
"C84.5","C845","DEFAULT","3","Other mature T/NK-cell lymphomas","","","",,,,""
"C84.6","C846","DEFAULT","3","Anaplastic large cell lymphoma, ALK-positive","","","",,,,""
"C84.7","C847","DEFAULT","3","Anaplastic large cell lymphoma, ALK-negative","","","",,,,""
"C84.8","C848","DEFAULT","3","Cutaneous T-cell lymphoma, unspecified","","","",,,,""
"C84.9","C849","DEFAULT","3","Mature T/NK-cell lymphoma, unspecified","","","",,,,""
"C85","C85","DEFAULT","3","Other and unspecified types of non-Hodgkin lymphoma","","","",,,,""
"C85.1","C851","DEFAULT","3","B-cell lymphoma, unspecified","","","",,,,""
"C85.2","C852","DEFAULT","3","Mediastinal (thymic) large B-cell lymphoma","","","",,,,""
"C85.7","C857","DEFAULT","3","Other specified types of non-Hodgkin lymphoma","","","",,,,""
"C85.9","C859","DEFAULT","3","Non-Hodgkin lymphoma, unspecified","","","",,,,""
"C86","C86","DEFAULT","3","Other specified types of T/NK-cell lymphoma","","","",,,,""
"C86.0","C860","DEFAULT","3","Extranodal NK/T-cell lymphoma, nasal type","","","",,,,""
"C86.1","C861","DEFAULT","3","Hepatosplenic T-cell lymphoma","","","",,,,""
"C86.2","C862","DEFAULT","3","Enteropathy-type (intestinal) T-cell lymphoma","","","",,,,""
"C86.3","C863","DEFAULT","3","Subcutaneous panniculitis-like T-cell lymphoma","","","",,,,""
"C86.4","C864","DEFAULT","3","Blastic NK-cell lymphoma","","","",,,,""
"C86.5","C865","DEFAULT","3","Angioimmunoblastic T-cell lymphoma","","","",,,,""
"C86.6","C866","DEFAULT","3","Primary cutaneous CD30-positive T-cell proliferations","","","",,,,""
