"code","ALT_CODE","USAGE","USAGE_UK","DESCRIPTION","MODIFIER_4","MODIFIER_5","QUALIFIERS","GENDER_MASK","MIN_AGE","MAX_AGE","TREE_DESCRIPTION"
"C44","C44","DEFAULT","3","Other malignant neoplasms of skin","","","",,,,""
"C44.0","C440","DEFAULT","3","Malignant neoplasm: Skin of lip","","","",,,,"Skin of lip"
"C44.1","C441","DEFAULT","3","Malignant neoplasm: Skin of eyelid, including canthus","","","",,,,"Skin of eyelid, including canthus"
"C44.2","C442","DEFAULT","3","Malignant neoplasm: Skin of ear and external auricular canal","","","",,,,"Skin of ear and external auricular canal"
"C44.3","C443","DEFAULT","3","Malignant neoplasm: Skin of other and unspecified parts of face","","","",,,,"Skin of other and unspecified parts of face"
"C44.4","C444","DEFAULT","3","Malignant neoplasm: Skin of scalp and neck","","","",,,,"Skin of scalp and neck"
"C44.5","C445","DEFAULT","3","Malignant neoplasm: Skin of trunk","","","",,,,"Skin of trunk"
"C44.6","C446","DEFAULT","3","Malignant neoplasm: Skin of upper limb, including shoulder","","","",,,,"Skin of upper limb, including shoulder"
"C44.7","C447","DEFAULT","3","Malignant neoplasm: Skin of lower limb, including hip","","","",,,,"Skin of lower limb, including hip"
"C44.8","C448","DEFAULT","3","Malignant neoplasm: Overlapping lesion of skin","","","",,,,"Overlapping lesion of skin"
"C44.9","C449","DEFAULT","3","Malignant neoplasm: Malignant neoplasm of skin, unspecified","","","",,,,"Malignant neoplasm of skin, unspecified"
