"code","ALT_CODE","USAGE","USAGE_UK","DESCRIPTION","MODIFIER_4","MODIFIER_5","QUALIFIERS","GENDER_MASK","MIN_AGE","MAX_AGE","TREE_DESCRIPTION"
"M80","M80","DEFAULT","3","Osteoporosis with pathological fracture","","","",,,,""
"M80.0","M800","DEFAULT","3","Postmenopausal osteoporosis with pathological fracture","","","","1","45",,""
"M80.00","M8000","DEFAULT","3","Postmenopausal osteoporosis with pathological fracture","","Multiple sites","","1","45",,""
"M80.01","M8001","DEFAULT","3","Postmenopausal osteoporosis with pathological fracture","","Shoulder region","","1","45",,""
"M80.02","M8002","DEFAULT","3","Postmenopausal osteoporosis with pathological fracture","","Upper arm","","1","45",,""
"M80.03","M8003","DEFAULT","3","Postmenopausal osteoporosis with pathological fracture","","Forearm","","1","45",,""
"M80.04","M8004","DEFAULT","3","Postmenopausal osteoporosis with pathological fracture","","Hand","","1","45",,""
"M80.05","M8005","DEFAULT","3","Postmenopausal osteoporosis with pathological fracture","","Pelvic region and thigh","","1","45",,""
"M80.06","M8006","DEFAULT","3","Postmenopausal osteoporosis with pathological fracture","","Lower leg","","1","45",,""
"M80.07","M8007","DEFAULT","3","Postmenopausal osteoporosis with pathological fracture","","Ankle and foot","","1","45",,""
"M80.08","M8008","DEFAULT","3","Postmenopausal osteoporosis with pathological fracture","","Other","","1","45",,""
"M80.09","M8009","DEFAULT","3","Postmenopausal osteoporosis with pathological fracture","","Site unspecified","","1","45",,""
"M80.1","M801","DEFAULT","3","Postoophorectomy osteoporosis with pathological fracture","","","","1","25",,""
"M80.10","M8010","DEFAULT","3","Postoophorectomy osteoporosis with pathological fracture","","Multiple sites","","1","25",,""
"M80.11","M8011","DEFAULT","3","Postoophorectomy osteoporosis with pathological fracture","","Shoulder region","","1","25",,""
"M80.12","M8012","DEFAULT","3","Postoophorectomy osteoporosis with pathological fracture","","Upper arm","","1","25",,""
"M80.13","M8013","DEFAULT","3","Postoophorectomy osteoporosis with pathological fracture","","Forearm","","1","25",,""
"M80.14","M8014","DEFAULT","3","Postoophorectomy osteoporosis with pathological fracture","","Hand","","1","25",,""
"M80.15","M8015","DEFAULT","3","Postoophorectomy osteoporosis with pathological fracture","","Pelvic region and thigh","","1","25",,""
"M80.16","M8016","DEFAULT","3","Postoophorectomy osteoporosis with pathological fracture","","Lower leg","","1","25",,""
"M80.17","M8017","DEFAULT","3","Postoophorectomy osteoporosis with pathological fracture","","Ankle and foot","","1","25",,""
"M80.18","M8018","DEFAULT","3","Postoophorectomy osteoporosis with pathological fracture","","Other","","1","25",,""
"M80.19","M8019","DEFAULT","3","Postoophorectomy osteoporosis with pathological fracture","","Site unspecified","","1","25",,""
"M80.2","M802","DEFAULT","3","Osteoporosis of disuse with pathological fracture","","","",,"25",,""
"M80.20","M8020","DEFAULT","3","Osteoporosis of disuse with pathological fracture","","Multiple sites","",,"25",,""
"M80.21","M8021","DEFAULT","3","Osteoporosis of disuse with pathological fracture","","Shoulder region","",,"25",,""
"M80.22","M8022","DEFAULT","3","Osteoporosis of disuse with pathological fracture","","Upper arm","",,"25",,""
"M80.23","M8023","DEFAULT","3","Osteoporosis of disuse with pathological fracture","","Forearm","",,"25",,""
"M80.24","M8024","DEFAULT","3","Osteoporosis of disuse with pathological fracture","","Hand","",,"25",,""
"M80.25","M8025","DEFAULT","3","Osteoporosis of disuse with pathological fracture","","Pelvic region and thigh","",,"25",,""
"M80.26","M8026","DEFAULT","3","Osteoporosis of disuse with pathological fracture","","Lower leg","",,"25",,""
"M80.27","M8027","DEFAULT","3","Osteoporosis of disuse with pathological fracture","","Ankle and foot","",,"25",,""
"M80.28","M8028","DEFAULT","3","Osteoporosis of disuse with pathological fracture","","Other","",,"25",,""
"M80.29","M8029","DEFAULT","3","Osteoporosis of disuse with pathological fracture","","Site unspecified","",,"25",,""
"M80.3","M803","DEFAULT","3","Postsurgical malabsorption osteoporosis with pathological fracture","","","",,"25",,""
"M80.30","M8030","DEFAULT","3","Postsurgical malabsorption osteoporosis with pathological fracture","","Multiple sites","",,"25",,""
"M80.31","M8031","DEFAULT","3","Postsurgical malabsorption osteoporosis with pathological fracture","","Shoulder region","",,"25",,""
"M80.32","M8032","DEFAULT","3","Postsurgical malabsorption osteoporosis with pathological fracture","","Upper arm","",,"25",,""
"M80.33","M8033","DEFAULT","3","Postsurgical malabsorption osteoporosis with pathological fracture","","Forearm","",,"25",,""
"M80.34","M8034","DEFAULT","3","Postsurgical malabsorption osteoporosis with pathological fracture","","Hand","",,"25",,""
"M80.35","M8035","DEFAULT","3","Postsurgical malabsorption osteoporosis with pathological fracture","","Pelvic region and thigh","",,"25",,""
"M80.36","M8036","DEFAULT","3","Postsurgical malabsorption osteoporosis with pathological fracture","","Lower leg","",,"25",,""
"M80.37","M8037","DEFAULT","3","Postsurgical malabsorption osteoporosis with pathological fracture","","Ankle and foot","",,"25",,""
"M80.38","M8038","DEFAULT","3","Postsurgical malabsorption osteoporosis with pathological fracture","","Other","",,"25",,""
"M80.39","M8039","DEFAULT","3","Postsurgical malabsorption osteoporosis with pathological fracture","","Site unspecified","",,"25",,""
"M80.4","M804","DEFAULT","3","Drug-induced osteoporosis with pathological fracture","","","",,"25",,""
"M80.40","M8040","DEFAULT","3","Drug-induced osteoporosis with pathological fracture","","Multiple sites","",,"25",,""
"M80.41","M8041","DEFAULT","3","Drug-induced osteoporosis with pathological fracture","","Shoulder region","",,"25",,""
"M80.42","M8042","DEFAULT","3","Drug-induced osteoporosis with pathological fracture","","Upper arm","",,"25",,""
"M80.43","M8043","DEFAULT","3","Drug-induced osteoporosis with pathological fracture","","Forearm","",,"25",,""
"M80.44","M8044","DEFAULT","3","Drug-induced osteoporosis with pathological fracture","","Hand","",,"25",,""
"M80.45","M8045","DEFAULT","3","Drug-induced osteoporosis with pathological fracture","","Pelvic region and thigh","",,"25",,""
"M80.46","M8046","DEFAULT","3","Drug-induced osteoporosis with pathological fracture","","Lower leg","",,"25",,""
"M80.47","M8047","DEFAULT","3","Drug-induced osteoporosis with pathological fracture","","Ankle and foot","",,"25",,""
"M80.48","M8048","DEFAULT","3","Drug-induced osteoporosis with pathological fracture","","Other","",,"25",,""
"M80.49","M8049","DEFAULT","3","Drug-induced osteoporosis with pathological fracture","","Site unspecified","",,"25",,""
"M80.5","M805","DEFAULT","3","Idiopathic osteoporosis with pathological fracture","","","",,"25",,""
"M80.50","M8050","DEFAULT","3","Idiopathic osteoporosis with pathological fracture","","Multiple sites","",,"25",,""
"M80.51","M8051","DEFAULT","3","Idiopathic osteoporosis with pathological fracture","","Shoulder region","",,"25",,""
"M80.52","M8052","DEFAULT","3","Idiopathic osteoporosis with pathological fracture","","Upper arm","",,"25",,""
"M80.53","M8053","DEFAULT","3","Idiopathic osteoporosis with pathological fracture","","Forearm","",,"25",,""
"M80.54","M8054","DEFAULT","3","Idiopathic osteoporosis with pathological fracture","","Hand","",,"25",,""
"M80.55","M8055","DEFAULT","3","Idiopathic osteoporosis with pathological fracture","","Pelvic region and thigh","",,"25",,""
"M80.56","M8056","DEFAULT","3","Idiopathic osteoporosis with pathological fracture","","Lower leg","",,"25",,""
"M80.57","M8057","DEFAULT","3","Idiopathic osteoporosis with pathological fracture","","Ankle and foot","",,"25",,""
"M80.58","M8058","DEFAULT","3","Idiopathic osteoporosis with pathological fracture","","Other","",,"25",,""
"M80.59","M8059","DEFAULT","3","Idiopathic osteoporosis with pathological fracture","","Site unspecified","",,"25",,""
"M80.8","M808","DEFAULT","3","Other osteoporosis with pathological fracture","","","",,"25",,""
"M80.80","M8080","DEFAULT","3","Other osteoporosis with pathological fracture","","Multiple sites","",,"25",,""
"M80.81","M8081","DEFAULT","3","Other osteoporosis with pathological fracture","","Shoulder region","",,"25",,""
"M80.82","M8082","DEFAULT","3","Other osteoporosis with pathological fracture","","Upper arm","",,"25",,""
"M80.83","M8083","DEFAULT","3","Other osteoporosis with pathological fracture","","Forearm","",,"25",,""
"M80.84","M8084","DEFAULT","3","Other osteoporosis with pathological fracture","","Hand","",,"25",,""
"M80.85","M8085","DEFAULT","3","Other osteoporosis with pathological fracture","","Pelvic region and thigh","",,"25",,""
"M80.86","M8086","DEFAULT","3","Other osteoporosis with pathological fracture","","Lower leg","",,"25",,""
"M80.87","M8087","DEFAULT","3","Other osteoporosis with pathological fracture","","Ankle and foot","",,"25",,""
"M80.88","M8088","DEFAULT","3","Other osteoporosis with pathological fracture","","Other","",,"25",,""
