code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
K25.1,Gastric ulcer - Acute with perforation,ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K25.2,Gastric ulcer - Acute with both haemorrhage and perforation,ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K25.5,Gastric ulcer - Chronic or unspecified with perforation,ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K25.6,Gastric ulcer - Chronic or unspecified with both haemorrhage and perforation,ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K26.1,Duodenal ulcer - Acute with perforation,ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K26.2,Duodenal ulcer - Acute with both haemorrhage and perforation,ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K26.5,Duodenal ulcer - Chronic or unspecified with perforation,ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K26.6,Duodenal ulcer - Chronic or unspecified with both haemorrhage and perforation,ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K27.1,"Peptic ulcer, site unspecified - Acute with perforation",ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K27.2,"Peptic ulcer, site unspecified - Acute with both haemorrhage and perforation",ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K27.5,"Peptic ulcer, site unspecified - Chronic or unspecified with perforation",ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K27.6,"Peptic ulcer, site unspecified - Chronic or unspecified with both haemorrhage and perforation",ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K28.1,Gastrojejunal ulcer - Acute with perforation,ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K28.2,Gastrojejunal ulcer - Acute with both haemorrhage and perforation,ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K28.5,Gastrojejunal ulcer - Chronic or unspecified with perforation,ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K28.6,Gastrojejunal ulcer - Chronic or unspecified with both haemorrhage and perforation,ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K35.2,Acute appendicitis with generalized peritonitis,ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K35.3,Acute appendicitis with localized peritonitis,ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K57.0,Diverticular disease of small intestine with perforation and abscess,ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K57.2,Diverticular disease of large intestine with perforation and abscess,ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K57.4,Diverticular disease of both small and large intestine with perforation and abscess,ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K57.8,"Diverticular disease of intestine, part unspecified, with perforation and abscess",ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
K63.1,Perforation of intestine (nontraumatic),ICD10 codes,C1355,3849,Peritonitis - Secondary care - Diagnoses,PH237,474,Peritonitis,"{'Disease': 'Peritonitis', 'Category': 'Diagnosis of Peritonitis'}"
