code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
I63.0,Cerebral infarction due to thrombosis of precerebral arteries,ICD10 codes,C839,2817,Ischaemic stroke - Secondary care - Diagnoses,PH56,112,Ischaemic stroke,"{'Disease': 'Ischaemic stroke', 'Category': 'Diagnosis of Ischaemic stroke'}"
I63.1,Cerebral infarction due to embolism of precerebral arteries,ICD10 codes,C839,2817,Ischaemic stroke - Secondary care - Diagnoses,PH56,112,Ischaemic stroke,"{'Disease': 'Ischaemic stroke', 'Category': 'Diagnosis of Ischaemic stroke'}"
I63.2,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,ICD10 codes,C839,2817,Ischaemic stroke - Secondary care - Diagnoses,PH56,112,Ischaemic stroke,"{'Disease': 'Ischaemic stroke', 'Category': 'Diagnosis of Ischaemic stroke'}"
I63.3,Cerebral infarction due to thrombosis of cerebral arteries,ICD10 codes,C839,2817,Ischaemic stroke - Secondary care - Diagnoses,PH56,112,Ischaemic stroke,"{'Disease': 'Ischaemic stroke', 'Category': 'Diagnosis of Ischaemic stroke'}"
I63.4,Cerebral infarction due to embolism of cerebral arteries,ICD10 codes,C839,2817,Ischaemic stroke - Secondary care - Diagnoses,PH56,112,Ischaemic stroke,"{'Disease': 'Ischaemic stroke', 'Category': 'Diagnosis of Ischaemic stroke'}"
I63.5,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,ICD10 codes,C839,2817,Ischaemic stroke - Secondary care - Diagnoses,PH56,112,Ischaemic stroke,"{'Disease': 'Ischaemic stroke', 'Category': 'Diagnosis of Ischaemic stroke'}"
I63.8,Other cerebral infarction,ICD10 codes,C839,2817,Ischaemic stroke - Secondary care - Diagnoses,PH56,112,Ischaemic stroke,"{'Disease': 'Ischaemic stroke', 'Category': 'Diagnosis of Ischaemic stroke'}"
I63.9,"Cerebral infarction, unspecified",ICD10 codes,C839,2817,Ischaemic stroke - Secondary care - Diagnoses,PH56,112,Ischaemic stroke,"{'Disease': 'Ischaemic stroke', 'Category': 'Diagnosis of Ischaemic stroke'}"
I69.3,Sequelae of cerebral infarction,ICD10 codes,C839,2817,Ischaemic stroke - Secondary care - Diagnoses,PH56,112,Ischaemic stroke,"{'Disease': 'Ischaemic stroke', 'Category': 'History of cerebral infarction'}"
G46.3,Brain stem stroke syndrome,ICD10 codes,C920,2979,Stroke NOS - Secondary care - Diagnoses,PH85,170,Stroke NOS,"{'Disease': 'Stroke NOS', 'Category': 'Diagnosis of Stroke NOS'}"
G46.4,Cerebellar stroke syndrome,ICD10 codes,C920,2979,Stroke NOS - Secondary care - Diagnoses,PH85,170,Stroke NOS,"{'Disease': 'Stroke NOS', 'Category': 'Diagnosis of Stroke NOS'}"
G46.5,Pure motor lacunar syndrome,ICD10 codes,C920,2979,Stroke NOS - Secondary care - Diagnoses,PH85,170,Stroke NOS,"{'Disease': 'Stroke NOS', 'Category': 'Diagnosis of Stroke NOS'}"
G46.6,Pure sensory lacunar syndrome,ICD10 codes,C920,2979,Stroke NOS - Secondary care - Diagnoses,PH85,170,Stroke NOS,"{'Disease': 'Stroke NOS', 'Category': 'Diagnosis of Stroke NOS'}"
G46.7,Other lacunar syndromes,ICD10 codes,C920,2979,Stroke NOS - Secondary care - Diagnoses,PH85,170,Stroke NOS,"{'Disease': 'Stroke NOS', 'Category': 'Diagnosis of Stroke NOS'}"
G46.8,Other vascular syndromes of brain in cerebrovascular diseases,ICD10 codes,C920,2979,Stroke NOS - Secondary care - Diagnoses,PH85,170,Stroke NOS,"{'Disease': 'Stroke NOS', 'Category': 'Diagnosis of Stroke NOS'}"
I64,"Stroke, not specified as haemorrhage or infarction",ICD10 codes,C920,2979,Stroke NOS - Secondary care - Diagnoses,PH85,170,Stroke NOS,"{'Disease': 'Stroke NOS', 'Category': 'Diagnosis of Stroke NOS'}"
I69.4,"Sequelae of stroke, not specified as haemorrhage or infarction",ICD10 codes,C920,2979,Stroke NOS - Secondary care - Diagnoses,PH85,170,Stroke NOS,"{'Disease': 'Stroke NOS', 'Category': 'History of stroke, not specified as haemorrhage or infarction'}"
