"code","ALT_CODE","USAGE","USAGE_UK","DESCRIPTION","MODIFIER_4","MODIFIER_5","QUALIFIERS","GENDER_MASK","MIN_AGE","MAX_AGE","TREE_DESCRIPTION"
"L50","L50","DEFAULT","3","Urticaria","","","",,,,""
"L50.0","L500","DEFAULT","3","Allergic urticaria","","","",,,,""
"L50.1","L501","DEFAULT","3","Idiopathic urticaria","","","",,,,""
"L50.2","L502","DEFAULT","3","Urticaria due to cold and heat","","","",,,,""
"L50.3","L503","DEFAULT","3","Dermatographic urticaria","","","",,,,""
"L50.4","L504","DEFAULT","3","Vibratory urticaria","","","",,,,""
"L50.5","L505","DEFAULT","3","Cholinergic urticaria","","","",,,,""
"L50.6","L506","DEFAULT","3","Contact urticaria","","","",,,,""
"L50.8","L508","DEFAULT","3","Other urticaria","","","",,,,""
"L50.9","L509","DEFAULT","3","Urticaria, unspecified","","","",,,,""
"L56.3","L563","DEFAULT","3","Solar urticaria","","","",,,,""
